Ticker,m20tmrw,Close,63d %,daily delta,previous daily delta,63d peak,chance,Earnings Offset Closest,Overall Record,average_duration,total_days_below_threshold
BANR,44.096000000000004,45.19,-0.1801523947750363,-0.0139646519746891,-0.0021772262138036,55.12,0,-15,47 - 11 (81.03%),9.0,76.0
BALL,53.2,66.46,-0.0006015037593986,-0.0006015037593986,0.0042283298097252,66.5,0,-26,42 - 3 (93.33%),30.0,151.0
BAX,35.016000000000005,41.54,-0.0509481379940599,-0.0059822924144532,-0.0035765379113018,43.77,0,-21,28 - 11 (71.79%),13.0,122.0
BB,2.888,2.66,-0.263157894736842,0.0075757575757575,-0.0112359550561796,3.61,0,-5,207 - 40 (83.81%),27.0,356.0
BBVA,9.432,11.72,-0.0059372349448684,0.0051457975986277,-0.0110262934690414,11.79,0,-21,63 - 7 (90.00%),37.0,75.0
BBWI,38.664,47.98,-0.0072418787502587,0.0252136752136751,0.0010695187165774,48.33,0,18,160 - 43 (78.82%),51.0,816.0
BBD,2.84,2.86,-0.1943661971830985,0.0214285714285713,0.0035842293906809,3.55,0,33,107 - 32 (76.98%),23.0,189.0
BBY,65.328,80.06,-0.0195934361988733,-0.0081764122893953,-0.011511143766838,81.66,0,18,70 - 4 (94.59%),12.0,138.0
BC,79.20800000000001,93.26,-0.058074941925058,0.0029035380148403,0.007803186301073,99.01,0,-21,53 - 5 (91.38%),10.0,113.0
BCH,19.056,21.89,-0.0810243492863139,0.012956964368348,0.0159849553361541,23.82,0,-22,49 - 20 (71.01%),0.0,0.0
BCPC,125.81600000000002,153.44,-0.0243530234628347,-0.001236737616351,-0.0123432979749277,157.27,0,-22,17 - 7 (70.83%),0.0,0.0
BBDO,2.5440000000000005,2.56,-0.1949685534591195,0.0118577075098815,0.0039682539682539,3.18,0,33,105 - 36 (74.47%),11.0,202.0
BCS,7.4879999999999995,9.25,-0.0117521367521367,-0.0010799136069113,0.001081081081081,9.36,0,-21,66 - 13 (83.54%),71.0,646.0
BCE,33.344,33.87,-0.187380038387716,0.0014784151389708,0.0032631266686442,41.68,0,-26,7 - 0 (100.00%),1.0,1.0
BCO,72.24,90.3,0.0108586141273927,0.0148347943358058,0.0181943014074836,90.3,0,18,52 - 2 (96.30%),5.0,5.0
BCC,121.72000000000001,150.12,-0.0133420966151823,-0.0045092838196286,-0.0038314176245209,152.15,0,25,69 - 10 (87.34%),14.0,85.0
BDX,198.184,241.88,-0.0236144189238283,0.0008689535316754,-0.0185989847715736,247.73,0,-26,6 - 0 (100.00%),0.0,0.0
BECN,76.144,94.85,-0.0034671149401136,-0.0021041557075224,-0.0013658331582265,95.18,0,20,58 - 12 (82.86%),8.0,16.0
BDC,74.2,91.61,-0.0122911051212938,-0.0046718817905259,-0.0076549865229109,92.75,0,-25,65 - 12 (84.42%),41.0,83.0
BEN,24.144000000000002,27.03,-0.1043737574552683,-0.010252654705236,-0.0021921812203142,30.18,0,-28,60 - 19 (75.95%),46.0,736.0
BEP,21.856,22.87,-0.1628843338213762,-0.0013100436681221,-0.0043478260869566,27.32,0,-27,41 - 10 (80.39%),27.0,111.0
BERY,54.488,59.23,-0.1316522504031666,-0.0037005887300253,0.0076271186440679,68.11,0,-26,38 - 11 (77.55%),65.0,261.0
BFAM,94.32000000000001,113.0,-0.0415606446140798,0.0065918403705682,-0.0140523449850693,117.9,0,29,70 - 9 (88.61%),42.0,171.0
